,Team,DRAYavg,POSSavg,DRAYvalue,POSSvalue,TeamRank,Grade
0,TOR,0.93,36346.69,33,31,64,A+
1,GSW2,0.54,37975.96,27,33,60,A
2,MIL,0.84,34210.22,32,26,58,A
3,HOU,0.24,38316.57,22,34,56,A-
4,LAC,0.59,34386.88,28,27,55,A-
5,POR2,0.94,33099.87,34,20,54,A-
6,PHI,0.21,35934.67,20,30,50,B+
7,BOS,0.59,32267.76,28,19,47,B
8,GSW,0.39,33290.95,26,21,47,B
9,NOP,0.71,29357.03,30,15,45,B
10,UTA,0.06,35934.28,15,29,44,B
11,BKN2,0.21,33519.78,20,24,44,B
12,POR,0.33,31436.87,23,18,41,B-
13,OKC,0.1,33464.01,16,23,39,B-
14,ORL,-0.41,36913.04,6,32,38,C+
15,DAL,0.38,27046.13,24,12,36,C+
16,SAS,-0.3,35662.66,7,28,35,C+
17,DEN,-0.16,33904.21,10,25,35,C+
18,MEM,0.74,20106.51,31,3,34,C+
19,BKN,0.11,29807.73,17,16,33,C
20,MIA,0.38,24343.23,24,5,29,C-
21,NYK,0.12,26313.51,18,9,27,C-
22,SAC,-0.44,33354.72,5,22,27,C-
23,LAL,-0.03,26929.03,13,11,24,D+
24,DET,-0.17,29207.46,9,14,23,D+
25,CHA,0.13,23887.65,19,4,23,D+
26,PHO,-0.48,30854.14,3,17,20,D
27,MIN,-0.1,25774.93,11,7,18,D
28,ATL,-0.47,28108.86,4,13,17,D
29,IND,-0.28,26013.11,8,8,16,D
30,WAS,0.01,18369.78,14,1,15,D-
31,WAS2,-0.1,19721.71,11,2,13,D-
32,CHI,-0.53,26911.18,2,10,12,D-
33,CLE,-0.72,24648.58,1,6,7,F
