,Team,3PA,3P%,PTS/Team,True Shooting,3PARank,3P%Rank,PTSRank,TrueShootingRank,TeamRank,Grade
0,LAC,28.5,0.36,119.1,0.6,25,30,33,32,120,A+
1,GSW2,33.3,0.35,107.1,0.57,33,26,29,24,112,A
2,UTA,31.300000000000004,0.32,118.0,0.59,31,12,32,31,106,A
3,SAC,32.4,0.37,105.0,0.56,32,33,27,14,106,A
4,BKN2,26.5,0.33,115.8,0.61,17,16,30,34,97,B+
5,LAL,28.2,0.31,120.4,0.58,24,9,34,29,96,B+
6,IND,23.7,0.41,102.4,0.58,9,34,22,29,94,B+
7,ORL,30.7,0.36,97.7,0.56,30,30,19,14,93,B+
8,HOU,43.0,0.3,117.0,0.56,34,7,31,14,86,B
9,NOP,29.700000000000003,0.34,99.4,0.56,28,21,21,14,84,B
10,DEN,27.800000000000004,0.36,97.0,0.56,22,30,17,14,83,B
11,WAS2,28.0,0.34,95.2,0.57,23,21,14,24,82,B
12,DAL,29.900000000000002,0.35,94.7,0.56,29,26,13,14,82,B
13,CHI,23.4,0.36,103.0,0.56,8,30,25,14,77,B-
14,BOS,25.5,0.34,93.5,0.58,15,21,11,29,76,B-
15,GSW,27.2,0.35,90.3,0.57,18,26,7,24,75,B-
16,MIL,27.7,0.33,94.4,0.57,21,16,12,24,73,C+
17,DET,29.4,0.33,104.8,0.54,27,16,26,1,70,C+
18,BKN,24.4,0.28,98.3,0.6,12,3,20,32,67,C+
19,NYK,28.900000000000002,0.3,96.4,0.56,26,7,16,14,63,C
20,ATL,27.2,0.34,92.4,0.56,18,21,10,14,63,C
21,PHI,24.900000000000002,0.29,105.9,0.56,14,5,28,14,61,C
22,PHO,27.299999999999997,0.29,102.4,0.56,20,5,22,14,61,C
23,POR2,24.200000000000003,0.28,102.5,0.56,11,3,24,14,52,C-
24,WAS,23.2,0.32,78.6,0.57,7,12,2,24,45,D+
25,SAS,18.7,0.32,97.1,0.56,1,12,18,14,45,D+
26,TOR,22.2,0.34,83.7,0.56,5,21,5,14,45,D+
27,POR,26.400000000000002,0.31,95.7,0.55,16,9,15,4,44,D+
28,CHA,19.0,0.35,60.0,0.56,2,26,1,14,43,D+
29,MIN,24.2,0.34,91.6,0.55,10,21,8,4,43,D+
30,MIA,24.699999999999996,0.33,83.2,0.55,13,16,4,4,37,D
31,OKC,21.8,0.27,87.4,0.57,4,2,6,24,36,D
32,MEM,19.4,0.33,80.9,0.55,3,16,3,4,26,D-
33,CLE,22.2,0.25,91.6,0.55,5,1,8,4,18,F
